<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;221230;000000;162.9100000;164.0000000;161.8000000;162.5600000;11637250
GAZP;D;230103;000000;163.0200000;164.3600000;162.3300000;163.5200000;6366490
GAZP;D;230104;000000;163.4600000;163.4600000;162.0600000;162.5100000;6656380
GAZP;D;230105;000000;162.5100000;162.8500000;160.7100000;161.2000000;7599140
GAZP;D;230106;000000;161.2000000;162.5900000;161.1000000;162.1000000;5240800
GAZP;D;230109;000000;162.9800000;163.4900000;161.8800000;162.7100000;9706960
GAZP;D;230110;000000;162.7200000;162.9800000;161.4400000;162.1000000;7342060
GAZP;D;230111;000000;162.0900000;167.1900000;161.7000000;165.8300000;25239300
GAZP;D;230112;000000;165.7100000;165.7900000;163.7500000;164.1700000;11337740
GAZP;D;230113;000000;164.3000000;165.7300000;163.5000000;164.5600000;12244240
GAZP;D;230116;000000;165.1000000;166.8000000;164.9000000;165.8000000;14664800
GAZP;D;230117;000000;165.8200000;165.9200000;162.0000000;162.3300000;18054520
GAZP;D;230118;000000;162.5300000;163.9600000;160.8100000;162.1800000;14445400
GAZP;D;230119;000000;161.9800000;162.4900000;160.0100000;160.5300000;15603390
GAZP;D;230120;000000;160.6000000;161.4500000;158.5500000;158.8500000;16500690
GAZP;D;230123;000000;158.9000000;160.4900000;158.2000000;160.0600000;15042680
GAZP;D;230124;000000;160.2200000;160.8300000;157.4400000;157.8800000;16613760
GAZP;D;230125;000000;157.9000000;159.1300000;156.7100000;158.9900000;15559500
GAZP;D;230126;000000;159.1400000;159.4300000;157.1300000;157.5800000;12370220
GAZP;D;230127;000000;157.5900000;159.3300000;156.9100000;159.0800000;12287180
GAZP;D;230130;000000;159.0900000;159.6700000;157.7000000;158.4100000;10696630
GAZP;D;230131;000000;158.4100000;160.0000000;158.0000000;158.1000000;15118140
GAZP;D;230201;000000;158.3400000;158.6600000;157.5400000;158.1200000;14197160
GAZP;D;230202;000000;158.3500000;158.5900000;157.3100000;158.1000000;11959060
GAZP;D;230203;000000;158.0500000;163.9600000;156.7600000;160.8700000;69499700
GAZP;D;230206;000000;160.7000000;161.7600000;158.9100000;160.1400000;28018270
GAZP;D;230207;000000;160.4700000;161.3500000;159.5100000;159.8700000;13928790
GAZP;D;230208;000000;160.0700000;160.4200000;157.8200000;158.1800000;16663910
GAZP;D;230209;000000;158.5000000;160.4400000;157.6000000;159.1900000;27640740
GAZP;D;230210;000000;159.0500000;159.4600000;158.3200000;158.6800000;9833880
GAZP;D;230213;000000;159.4500000;159.4700000;158.0000000;158.0100000;11302230
GAZP;D;230214;000000;157.9800000;158.1000000;155.1300000;156.5200000;18579460
GAZP;D;230215;000000;156.0600000;156.0700000;150.6000000;153.0900000;27517910
GAZP;D;230216;000000;154.0400000;154.5000000;151.6200000;153.5600000;17282360
GAZP;D;230217;000000;153.3900000;155.0800000;152.8300000;153.6200000;13247310
GAZP;D;230220;000000;153.6300000;154.3000000;151.6200000;153.2400000;15286620
GAZP;D;230221;000000;153.6200000;156.4300000;153.6200000;154.9700000;21377910
GAZP;D;230222;000000;154.8500000;156.4000000;153.5000000;155.3100000;11636880
GAZP;D;230224;000000;155.5200000;156.9800000;153.7200000;154.2200000;9964650
GAZP;D;230227;000000;153.9000000;157.3000000;153.5000000;156.3400000;17065610
GAZP;D;230228;000000;156.4100000;158.0900000;155.5600000;157.6600000;18405580
GAZP;D;230301;000000;158.0000000;164.5600000;157.9900000;164.5000000;67692980
GAZP;D;230302;000000;164.1500000;164.3400000;159.5000000;160.9000000;53089640
GAZP;D;230303;000000;161.2000000;163.3000000;160.9000000;162.2700000;21275460
GAZP;D;230306;000000;163.2000000;164.3000000;162.5200000;163.3500000;19403570
GAZP;D;230307;000000;163.7500000;163.8500000;162.0000000;162.5700000;13838340
GAZP;D;230309;000000;162.2200000;163.1800000;161.1200000;161.2100000;13924340
GAZP;D;230310;000000;160.5000000;161.2900000;159.5100000;160.0400000;17122900
GAZP;D;230313;000000;160.3500000;161.6200000;158.3000000;159.0300000;20191630
GAZP;D;230314;000000;158.8900000;161.4000000;158.5500000;161.0000000;17487600
GAZP;D;230315;000000;161.5000000;162.4800000;158.0500000;159.6800000;24880090
GAZP;D;230316;000000;159.8100000;160.8300000;158.5000000;159.7100000;20909390
