<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;230201;100000;158.2000000;158.8600000;156.9300000;157.4600000;14018190
SBER;60;230201;110000;157.4700000;159.6000000;157.4300000;158.9300000;12322730
SBER;60;230201;120000;158.9000000;159.2000000;158.3800000;159.0800000;5033160
SBER;60;230201;130000;159.0900000;159.3100000;158.6000000;159.0000000;3042660
SBER;60;230201;140000;159.0000000;159.0900000;157.5500000;157.9200000;7611780
SBER;60;230201;150000;157.9200000;158.2300000;157.5000000;157.7800000;3455230
SBER;60;230201;160000;157.7800000;158.2900000;157.5700000;157.6300000;2168400
SBER;60;230201;170000;157.6300000;157.6300000;156.5000000;157.2000000;8582570
SBER;60;230201;180000;157.2100000;157.4000000;156.7700000;157.2200000;2576280
SBER;60;230201;190000;157.2200000;157.5000000;157.1100000;157.3700000;1026320
SBER;60;230201;200000;157.3600000;157.3700000;156.9200000;156.9600000;825850
SBER;60;230201;210000;156.9600000;157.4100000;156.9300000;157.2900000;507410
SBER;60;230201;220000;157.2900000;157.9300000;157.0600000;157.8500000;2060610
SBER;60;230201;230000;157.8500000;158.4800000;157.8200000;158.2900000;2997870
SBER;60;230202;100000;158.3900000;158.8400000;157.3700000;157.5100000;7033960
SBER;60;230202;110000;157.5100000;158.5000000;157.5000000;158.0200000;3463090
SBER;60;230202;120000;158.0200000;159.3000000;157.8500000;159.1200000;5513310
SBER;60;230202;130000;159.1100000;159.5000000;158.5500000;159.0500000;5937970
SBER;60;230202;140000;159.1000000;159.2800000;158.6700000;158.8700000;2228050
SBER;60;230202;150000;158.8700000;160.0300000;158.7000000;159.9400000;7092580
SBER;60;230202;160000;159.9400000;160.2900000;159.5800000;159.7000000;6769830
SBER;60;230202;170000;159.6400000;160.1500000;159.6200000;160.0000000;3292640
SBER;60;230202;180000;160.0000000;160.0100000;159.0300000;159.3600000;5444020
SBER;60;230202;190000;159.5500000;159.9000000;159.1300000;159.3200000;2227560
SBER;60;230202;200000;159.3200000;159.7700000;159.2800000;159.5500000;1456790
SBER;60;230202;210000;159.5500000;159.7000000;159.4500000;159.6900000;712390
SBER;60;230202;220000;159.6800000;159.8800000;159.4500000;159.5000000;1539340
SBER;60;230202;230000;159.5000000;159.6400000;159.2800000;159.4500000;1110760
SBER;60;230203;100000;159.0900000;159.3000000;158.2500000;158.9100000;9349040
SBER;60;230203;110000;158.9100000;159.1400000;158.6500000;158.9400000;2417080
SBER;60;230203;120000;158.9300000;159.0400000;157.8800000;158.2100000;6306890
SBER;60;230203;130000;158.2000000;158.9900000;158.1600000;158.6000000;2927860
SBER;60;230203;140000;158.6500000;159.3900000;158.5000000;159.2300000;3737160
SBER;60;230203;150000;159.2400000;159.9100000;159.0600000;159.9000000;3974090
SBER;60;230203;160000;159.9000000;161.1500000;159.6200000;160.5300000;14090030
