<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;230201;000000;158.2000000;159.6000000;156.5000000;158.2900000;66229060
SBER;D;230202;000000;158.3900000;160.2900000;157.3700000;159.4500000;53822290
SBER;D;230203;000000;159.0900000;162.3200000;157.8800000;161.2600000;63595690
SBER;D;230206;000000;161.7100000;167.1700000;161.0100000;167.0900000;88885050
SBER;D;230207;000000;167.3000000;168.7000000;163.4000000;165.3900000;92561690
SBER;D;230208;000000;165.1000000;166.3500000;162.7000000;164.1500000;58565870
SBER;D;230209;000000;164.3500000;167.4700000;161.2700000;165.3100000;107000260
SBER;D;230210;000000;165.0000000;166.4900000;164.5000000;165.5200000;40772540
SBER;D;230213;000000;165.2100000;166.8800000;164.1700000;164.3200000;36134650
SBER;D;230214;000000;164.3000000;164.3800000;161.6400000;161.8600000;58676770
SBER;D;230215;000000;160.9300000;161.1200000;153.8300000;156.2500000;113600860
SBER;D;230216;000000;157.3400000;159.3000000;156.2500000;158.2200000;68386460
SBER;D;230217;000000;157.9500000;160.3800000;156.9100000;159.7300000;51777410
SBER;D;230220;000000;159.4200000;161.3000000;156.7300000;160.0900000;63810790
SBER;D;230221;000000;160.6400000;165.6500000;159.2600000;164.1500000;127324000
SBER;D;230222;000000;164.1300000;164.4200000;162.5000000;163.3700000;43695690
SBER;D;230224;000000;163.3300000;165.5000000;163.1000000;164.3000000;37700530
SBER;D;230227;000000;163.6400000;170.0000000;162.9600000;169.9500000;100005170
SBER;D;230228;000000;170.4800000;171.9200000;168.3700000;169.8200000;80540860
