<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;221230;000000;140.8400000;141.4800000;140.1300000;141.1500000;28072880
SBER;D;230103;000000;141.6000000;143.2500000;141.5600000;141.7800000;21027110
SBER;D;230104;000000;141.8400000;142.2800000;140.7500000;141.4300000;17094250
SBER;D;230105;000000;141.6000000;141.8400000;140.5400000;141.2700000;17236330
SBER;D;230106;000000;141.3500000;141.6200000;140.9000000;141.4000000;10647380
SBER;D;230109;000000;141.8400000;142.9900000;141.6500000;142.4000000;31314900
SBER;D;230110;000000;142.1100000;142.8500000;141.3100000;142.8100000;23691190
SBER;D;230111;000000;142.9700000;149.9800000;142.8700000;149.9600000;123046960
SBER;D;230112;000000;150.0500000;150.7900000;148.3900000;149.3000000;46557290
SBER;D;230113;000000;149.5700000;153.2800000;147.7100000;151.6900000;88460580
SBER;D;230116;000000;152.8500000;154.0000000;151.8800000;153.7100000;51527810
SBER;D;230117;000000;153.9700000;154.3100000;150.0100000;150.4500000;84226560
SBER;D;230118;000000;150.4000000;153.0000000;149.4100000;151.4700000;67364580
SBER;D;230119;000000;151.2000000;152.8500000;148.5600000;149.3400000;66640910
SBER;D;230120;000000;149.7000000;151.4000000;148.6400000;151.3800000;44165570
SBER;D;230123;000000;151.9000000;154.1000000;151.0100000;153.5000000;55100140
SBER;D;230124;000000;153.9400000;155.5800000;152.2800000;152.6600000;78662030
SBER;D;230125;000000;152.4500000;153.6000000;151.5000000;152.8100000;43317800
SBER;D;230126;000000;153.3200000;154.3000000;151.7300000;152.4000000;45375340
SBER;D;230127;000000;152.4000000;153.4800000;151.6900000;153.2000000;34069080
SBER;D;230130;000000;153.5000000;153.8800000;152.2100000;153.3800000;31014210
SBER;D;230131;000000;153.5100000;158.1800000;153.3000000;158.0700000;77840320
SBER;D;230201;000000;158.2000000;159.6000000;156.5000000;158.2900000;66229060
SBER;D;230202;000000;158.3900000;160.2900000;157.3700000;159.4500000;53822290
SBER;D;230203;000000;159.0900000;162.3200000;157.8800000;161.2600000;63595690
SBER;D;230206;000000;161.7100000;167.1700000;161.0100000;167.0900000;88885050
SBER;D;230207;000000;167.3000000;168.7000000;163.4000000;165.3900000;92561690
SBER;D;230208;000000;165.1000000;166.3500000;162.7000000;164.1500000;58565870
SBER;D;230209;000000;164.3500000;167.4700000;161.2700000;165.3100000;107000260
SBER;D;230210;000000;165.0000000;166.4900000;164.5000000;165.5200000;40772540
SBER;D;230213;000000;165.2100000;166.8800000;164.1700000;164.3200000;36134650
SBER;D;230214;000000;164.3000000;164.3800000;161.6400000;161.8600000;58676770
SBER;D;230215;000000;160.9300000;161.1200000;153.8300000;156.2500000;113600860
SBER;D;230216;000000;157.3400000;159.3000000;156.2500000;158.2200000;68386460
SBER;D;230217;000000;157.9500000;160.3800000;156.9100000;159.7300000;51777410
SBER;D;230220;000000;159.4200000;161.3000000;156.7300000;160.0900000;63810790
SBER;D;230221;000000;160.6400000;165.6500000;159.2600000;164.1500000;127324000
SBER;D;230222;000000;164.1300000;164.4200000;162.5000000;163.3700000;43695690
SBER;D;230224;000000;163.3300000;165.5000000;163.1000000;164.3000000;37700530
SBER;D;230227;000000;163.6400000;170.0000000;162.9600000;169.9500000;100005170
SBER;D;230228;000000;170.4800000;171.9200000;168.3700000;169.8200000;80540860
SBER;D;230301;000000;170.4000000;171.6600000;169.5000000;170.5300000;53655680
SBER;D;230302;000000;170.4000000;170.4000000;166.5500000;168.0500000;86014000
SBER;D;230303;000000;168.2000000;171.2600000;167.9000000;171.1600000;49424990
SBER;D;230306;000000;172.1300000;172.9900000;171.3500000;171.8400000;64237540
SBER;D;230307;000000;171.8700000;174.2000000;171.0000000;174.0100000;55231190
SBER;D;230309;000000;174.8500000;174.8900000;172.2100000;172.5500000;79748090
SBER;D;230310;000000;171.7100000;173.0000000;170.5800000;172.5300000;49778720
SBER;D;230313;000000;172.5300000;173.9000000;169.2600000;172.1500000;73298080
SBER;D;230314;000000;171.6500000;176.9500000;171.0100000;175.7100000;89212040
SBER;D;230315;000000;176.0000000;177.3700000;173.5900000;175.3000000;79838900
SBER;D;230316;000000;174.9000000;176.0400000;173.3600000;175.4500000;51345380
SBER;D;230317;000000;183.0200000;193.6600000;178.5600000;193.5900000;384905230
SBER;D;230320;000000;196.0300000;205.0900000;195.0000000;203.7300000;155827740
SBER;D;230321;000000;204.7500000;208.0000000;201.2500000;203.3200000;122268990
SBER;D;230322;000000;203.4100000;204.4000000;201.5900000;202.8900000;57464560
SBER;D;230323;000000;202.5500000;204.2000000;202.2200000;202.5800000;26484020
SBER;D;230324;000000;202.8500000;203.8500000;202.0000000;203.5700000;24297290
SBER;D;230327;000000;204.0200000;213.2000000;204.0100000;211.8400000;101348890
SBER;D;230328;000000;212.8500000;214.7000000;210.6700000;214.0300000;73669280
SBER;D;230329;000000;214.8600000;219.5300000;213.6000000;217.9900000;96549640
SBER;D;230330;000000;217.3400000;218.4500000;216.1200000;216.8700000;40737550
SBER;D;230331;000000;217.2000000;217.3500000;211.3000000;216.6000000;88023190
SBER;D;230403;000000;218.4500000;219.4400000;214.8000000;216.0900000;54788980
SBER;D;230404;000000;216.2000000;217.2900000;213.8000000;214.8300000;45747250
SBER;D;230405;000000;214.6900000;216.3000000;211.4000000;216.1500000;46127960
SBER;D;230406;000000;216.3000000;217.3800000;214.0700000;214.2500000;38993420
SBER;D;230407;000000;214.5000000;216.3900000;213.6500000;216.2700000;29157060
SBER;D;230410;000000;217.1000000;222.2600000;216.6100000;222.2100000;84958930
SBER;D;230411;000000;222.9000000;223.3300000;217.6200000;218.6000000;98349200
SBER;D;230412;000000;218.6200000;219.7000000;216.6700000;219.2200000;44633200
SBER;D;230413;000000;219.4100000;220.8900000;218.0000000;219.8500000;32580550
SBER;D;230414;000000;219.9900000;222.5000000;218.5100000;221.8700000;43248810
SBER;D;230417;000000;222.9700000;228.2000000;222.9100000;228.1000000;78562510
SBER;D;230418;000000;227.8900000;232.7600000;227.0500000;232.6600000;97459980
SBER;D;230419;000000;232.6700000;237.3700000;231.1000000;232.9500000;115494020
SBER;D;230420;000000;233.3200000;236.4700000;229.8400000;236.2800000;85046740
SBER;D;230421;000000;237.4000000;238.8500000;233.5200000;235.1700000;115606560
SBER;D;230424;000000;235.0900000;236.4000000;234.1000000;235.1000000;30405040
SBER;D;230425;000000;235.1600000;235.8200000;234.2100000;235.3000000;32063750
SBER;D;230426;000000;235.5500000;235.9500000;234.9100000;235.2100000;24351620
SBER;D;230427;000000;235.5100000;240.7400000;235.1300000;240.3800000;68224840
SBER;D;230428;000000;240.8600000;241.5800000;237.6600000;240.3800000;49494960
SBER;D;230502;000000;242.2000000;245.0000000;237.4000000;242.6200000;83246880
SBER;D;230503;000000;242.8500000;242.9900000;234.0000000;235.7700000;76740930
SBER;D;230504;000000;236.5100000;239.7400000;236.0500000;238.8900000;53006840
SBER;D;230505;000000;239.1900000;240.6600000;237.3000000;237.7000000;61314710
SBER;D;230508;000000;238.6500000;239.8600000;237.3600000;238.2700000;47676110
SBER;D;230510;000000;216.5100000;227.5000000;215.7000000;227.0600000;154134860
SBER;D;230511;000000;228.5700000;235.3800000;223.9400000;229.3200000;197037380
SBER;D;230512;000000;231.0500000;232.4700000;226.1500000;229.2900000;69831820
SBER;D;230515;000000;230.5400000;231.7500000;228.5200000;231.7000000;48873370
SBER;D;230516;000000;232.4000000;232.8600000;229.5700000;230.6200000;36429340
SBER;D;230517;000000;229.8600000;230.9700000;228.7500000;230.5500000;31635370
SBER;D;230518;000000;231.7200000;234.4900000;230.7200000;231.7000000;55909060
SBER;D;230519;000000;230.9800000;232.3000000;229.8100000;231.2700000;31540330
SBER;D;230522;000000;232.2000000;232.7800000;230.0000000;231.0000000;26351890
SBER;D;230523;000000;231.2400000;237.2900000;230.2100000;236.4300000;62996030
SBER;D;230524;000000;237.4900000;246.1300000;236.2600000;246.0600000;85850770
SBER;D;230525;000000;246.1100000;247.4000000;242.6500000;243.7600000;70582820
SBER;D;230526;000000;243.4900000;249.6400000;242.8100000;248.1000000;69113640
SBER;D;230529;000000;249.7700000;252.5900000;248.8500000;251.1800000;67591330
SBER;D;230530;000000;248.8400000;250.8500000;243.8000000;244.6500000;82871290
SBER;D;230531;000000;244.0000000;247.1800000;240.2700000;246.1700000;72797140
SBER;D;230601;000000;247.0000000;247.0000000;240.5700000;241.6600000;51897410
SBER;D;230602;000000;242.0100000;245.5000000;240.7700000;243.9500000;46465000
